amostra_id,atividade_id,troco_id,zona_ordem,valor,variavel,limite_inferior,limite_superior,razao
22664327478_204_Z4,22664327478,204,4,1019.3467859371812,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_205_Z4,22664327478,205,4,959.3794651969832,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_206_Z4,22664327478,206,4,759.1186817256033,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_252_Z5,22664327478,252,5,838.0473496752643,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_253_Z5,22664327478,253,5,1106.4172198752556,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_254_Z5,22664327478,254,5,907.8071414161844,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_255_Z5,22664327478,255,5,1032.924467398336,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_256_Z5,22664327478,256,5,1045.2961672473898,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_257_Z5,22664327478,257,5,857.2869389813445,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_258_Z5,22664327478,258,5,946.3722397476124,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_262_Z4,22664327478,262,4,768.1755829903825,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_269_Z5,22664327478,269,5,891.1642017444102,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
22664327478_270_Z5,22664327478,270,5,825.5159474671501,ritmo_alvo_s_km,190.23312168646476,718.5435026908469,"fora de 1,5 × IQR"
