repeticao,n_atividades_treino,n_atividades_validacao,mae_treino_s_km,mae_validacao_s_km
3,21,13,55.01792919655799,60.8215343671912
3,22,12,55.04044496201698,62.79234180966552
3,23,11,55.237282665378245,62.5976345127111
3,24,10,54.31742070789411,63.70831758893898
3,25,9,55.706264666298765,62.02704475726613
3,26,8,56.07029655934774,60.707086755843164
3,27,7,55.078336406936835,64.42923175515392
3,28,6,54.90912767382204,63.148468680717436
3,29,5,54.43867236043261,63.189097261114966
3,30,4,54.84970990821036,63.408864558721376
3,31,3,54.23847094605883,73.81015218905709
3,32,2,54.52835834530873,68.78581254852052
3,33,1,55.2850393118732,59.448085574937764
4,2,32,40.677462406572864,113.51065684127201
4,3,31,49.16796249484431,95.04321640360718
4,4,30,52.35480108868709,90.46260807505949
4,5,29,49.791853455609115,67.96631302979041
4,6,28,56.59927036199643,64.97926508614468
4,7,27,62.18209626417909,78.59195603869203
4,8,26,59.500733089694094,77.2298358598473
4,9,25,62.68459103904494,72.37934429292943
4,10,24,61.97213222991793,71.20887890595847
4,11,23,62.446248737492446,71.39103899591909
4,12,22,60.60149021576937,72.01977497676464
4,13,21,59.98660948398678,71.23203508127159
4,14,20,60.20551767735067,69.21260744655696
4,15,19,58.61708828436875,69.860334348572
4,16,18,57.88078335043591,70.38046573130931
4,17,17,58.29514077792455,70.43858273056155
4,18,16,59.555368545451806,71.73628182609903
4,19,15,62.59467789674163,65.55880201795803
4,20,14,61.526630549813326,63.53202566506902
4,21,13,59.46961009810547,57.30650659959383
4,22,12,60.229711325632046,59.493508171562944
4,23,11,57.354471062331605,58.17305435426798
4,24,10,57.29032425892162,58.453208026802606
4,25,9,56.19041748961385,58.010674198074774
4,26,8,56.99751252409029,53.448094198508954
4,27,7,56.93898283085725,51.26134832903575
4,28,6,57.47161500952254,45.0782061702449
4,29,5,56.67898657123048,48.73380674001311
4,30,4,55.82411470761888,52.914334027790666
4,31,3,55.562537863183536,51.894175597144326
4,32,2,55.76670237719296,44.28960826457397
4,33,1,55.2850393118732,59.448085574937764
5,2,32,35.51184185554098,95.25165635655179
5,3,31,46.39588760951929,79.60579248270871
5,4,30,41.28296233609982,82.5533366060975
5,5,29,40.56466759305914,80.07336365729624
5,6,28,39.52731580532953,78.14053374325601
5,7,27,39.396647503379064,75.13925994504517
5,8,26,38.51099943721879,77.86025039107707
5,9,25,37.93858497296991,79.43162438313905
5,10,24,39.961989065880694,76.76227828993
5,11,23,41.29018728759671,74.29077614834033
5,12,22,37.945240922649,78.42293708879453
5,13,21,39.6447337330658,81.79793503973316
5,14,20,39.90827246537725,77.18750466627125
