troco_id,distancia_inicio_m,distancia_fim_m,comprimento_troco_m,altitude_inicio_m,altitude_fim_m,altitude_media_m,altitude_normalizada,declive_pct,distancia_inicio_km,subida_acumulada_m,zona_ordem,zona_limite_inferior_bpm,zona_limite_superior_bpm,zona_aberta,ritmo_previsto_s_km,previsao_valida,pouco_suporte,n_amostras_suporte,n_atividades_suporte,ritmo_previsto_mmss_km,tempo_troco_previsto_s
58,2900.0,2950.0,50.0,201.1311559303036,203.697171669155,202.4531755722314,0.20245317557223141,5.13203147770281,2.9,11.732643735373472,4,165,185,0,388.9274076095114,True,False,159,19,06:29/km,19.44637038047557
59,2950.0,3000.0,50.0,203.697171669155,205.6614376721763,204.72717385379062,0.2047271738537906,3.9285320060425875,2.95,13.696909738394766,4,165,185,0,377.1992090291213,True,False,186,18,06:17/km,18.859960451456065
60,3000.0,3050.0,50.0,205.6614376721763,207.0741077027009,206.37182238779067,0.20637182238779067,2.8253400610491894,3.0,15.10957976891936,4,165,185,0,370.733676097173,True,False,260,18,06:11/km,18.53668380485865
61,3050.0,3100.0,50.0,207.0741077027009,208.4435563839702,207.76108730397178,0.20776108730397178,2.73889736253858,3.05,16.47902845018865,4,165,185,0,370.733676097173,True,False,271,18,06:11/km,18.53668380485865
62,3100.0,3150.0,50.0,208.4435563839702,210.1547940635697,209.25556624510384,0.20925556624510383,3.4224753591990407,3.1,18.19026612978817,4,165,185,0,370.733676097173,True,False,217,18,06:11/km,18.53668380485865
63,3150.0,3200.0,50.0,210.1547940635697,212.61657223652983,211.32451339528384,0.21132451339528385,4.923556345920247,3.15,20.652044302748294,4,165,185,0,388.4488373609156,True,False,167,19,06:28/km,19.422441868045784
64,3200.0,3250.0,50.0,212.61657223652983,215.5855918678626,214.08698888343554,0.21408698888343553,5.938039262665541,3.2,23.621063934081064,4,165,185,0,395.4733755063861,True,False,136,19,06:35/km,19.773668775319305
65,3250.0,3300.0,50.0,215.5855918678626,218.96451573409132,217.2516802865964,0.21725168028659642,6.757847732457435,3.25,26.999987800309782,4,165,185,0,406.5363050937615,True,False,120,18,06:47/km,20.326815254688075
66,3300.0,3350.0,50.0,218.96451573409132,222.35944696716797,220.6762590043735,0.2206762590043735,6.789862466153295,3.3,30.39491903338643,4,165,185,0,406.5363050937615,True,False,118,18,06:47/km,20.326815254688075
67,3350.0,3400.0,50.0,222.35944696716797,225.66137094484347,224.01283050382506,0.22401283050382506,6.603847955351,3.35,33.69684301106193,4,165,185,0,408.0301632913696,True,False,120,18,06:48/km,20.40150816456848
68,3400.0,3450.0,50.0,225.66137094484347,229.20568425460505,227.43116811859454,0.22743116811859454,7.088626619523154,3.4,37.24115632082351,4,165,185,0,408.68588137345466,True,False,101,16,06:49/km,20.434294068672735
69,3450.0,3500.0,50.0,229.20568425460505,232.76578221904597,230.97734121270614,0.23097734121270613,7.120195928881856,3.45,40.801254285264434,4,165,185,0,436.610131473288,True,False,100,15,07:17/km,21.830506573664398
70,3500.0,3550.0,50.0,232.76578221904597,235.74126037806133,234.27977750211008,0.23427977750211007,5.9509563180307055,3.5,43.77673244427979,4,165,185,0,438.9453679522743,True,False,122,15,07:19/km,21.947268397613716
