fold,atividade_id,modelo,n_treino,n_teste,mae_s_km,rmse_s_km,r2,erro_assinado_s_km,tempo_treino_s,tempo_previsao_s
7,21729420815,RedeNeuronal_MLP,5112,264,67.68634578268282,104.15909868719125,0.3295770080544588,-5.110004757252784,6.042449642001884,0.0012672939919866621
7,21729420815,Dummy,5112,264,85.35415231216854,129.55250133611906,-0.03716076310543315,-24.522518742323772,0.0006389010086422786,0.00021135600400157273
8,21827489413,Ridge,5256,120,118.18364074854253,145.71981718336343,-0.6812813300419625,-99.00649480504454,0.002614494995214045,0.0022286959865596145
8,21827489413,RandomForest,5256,120,95.56821814000601,118.93353243212233,-0.11998392909359157,-72.14668457517843,0.37982194899814203,0.042669239002862014
8,21827489413,GradientBoosting,5256,120,96.75843823068668,123.79533758724392,-0.21342162892423655,-74.5979400051852,0.7416144860035274,0.002181359988753684
8,21827489413,HistGradientBoosting,5256,120,90.3635201637624,114.93023963689917,-0.045855728146353414,-66.12052465018455,0.8316067609994207,0.006871963996673003
8,21827489413,SVR_RBF,5256,120,147.55282790394935,180.68810812181195,-1.5850104093376607,-141.90351517490473,0.5232015960064018,0.011402087999158539
8,21827489413,RedeNeuronal_MLP,5256,120,90.03803590597727,118.7854650048839,-0.11719699579106546,-66.0014636768527,12.916964407006162,0.002133408997906372
8,21827489413,Dummy,5256,120,144.90019149659383,178.46608622085537,-1.5218227260431476,-138.6374160143052,0.0010548139980528504,0.00024039600975811481
9,21848059283,Ridge,5263,113,102.39792367617345,133.74813870574908,-0.07140091858223885,-37.20230236191223,0.0028941030032001436,0.002775850996840745
9,21848059283,RandomForest,5263,113,99.48346856636756,127.29403290294243,0.029506541504196293,-12.444864073237769,0.4209750549925957,0.05723893399408553
9,21848059283,GradientBoosting,5263,113,89.75526823078263,117.21316149755661,0.17713369221840614,-19.708046396204598,0.7572286789945792,0.00224294800136704
9,21848059283,HistGradientBoosting,5263,113,87.42531635949818,112.71774914098442,0.23904121339593198,-6.192560618616335,2.2769132490066113,0.00392874599492643
9,21848059283,SVR_RBF,5263,113,110.91624366893694,148.39558128644794,-0.31892001610027654,-72.03767620714518,0.5592711359931855,0.011289810005109757
9,21848059283,RedeNeuronal_MLP,5263,113,102.20167586062647,130.48368169891546,-0.019738754948867898,43.67767687096311,12.450448897012393,0.002338910009711981
9,21848059283,Dummy,5263,113,107.52045146700361,142.20260562810512,-0.21113241811531647,-59.373028308892145,0.0006421760044759139,0.0002063249994534999
10,21862167927,Ridge,5067,309,60.225806553033955,69.89780921705774,-1.6010815011464685,51.13362929302981,0.002459643001202494,0.0007433059945469722
10,21862167927,RandomForest,5067,309,55.84271287113339,71.03455661163963,-1.6863721743493887,43.15957551710796,0.36917340599757154,0.0391250570100965
10,21862167927,GradientBoosting,5067,309,51.2606945406816,61.194133363729556,-0.9936384897375656,39.12036421119849,0.8441203689872054,0.0016105569957289845
10,21862167927,HistGradientBoosting,5067,309,50.134705652706444,60.3600631110515,-0.9396626482905381,36.82227769804891,0.8438196979986969,0.004810876998817548
10,21862167927,SVR_RBF,5067,309,51.215393886875866,60.499530099462156,-0.9486365102265222,39.48461806039382,0.4736210260016378,0.023892799988971092
10,21862167927,RedeNeuronal_MLP,5067,309,45.516077586458294,57.171157020215745,-0.7401263977807342,29.00675282208435,6.587872724994668,0.0015261259977705777
10,21862167927,Dummy,5067,309,81.79842971537616,86.82832083279919,-3.013743700810169,75.23843296002983,0.0011128149926662445,0.00022381199232768267
11,21909979898,Ridge,5279,97,62.90127970863347,78.75681280698227,-0.13972725841063593,-1.9998968602433262,0.002305399000761099,0.0007318230054806918
11,21909979898,RandomForest,5279,97,96.43798310528824,110.9381223288456,-1.261446366899496,27.038089152821087,0.36372346099233255,0.03925375500693917
11,21909979898,GradientBoosting,5279,97,86.94924414507727,107.6275126547127,-1.1284883499260072,38.53229886919289,0.7774340819887584,0.0015681690128985792
11,21909979898,HistGradientBoosting,5279,97,90.96833509395945,110.10568062936375,-1.2276354583275215,49.244401577442744,0.7808045449928613,0.003917715002899058
11,21909979898,SVR_RBF,5279,97,67.5429340672575,93.15642801350532,-0.5945947341135576,-54.54703665620249,0.6805117009935202,0.017068323999410495
11,21909979898,RedeNeuronal_MLP,5279,97,67.22729336458256,84.49234177990091,-0.31177504476960993,17.78123763863916,9.532912654001848,0.0024509890063200146
11,21909979898,Dummy,5279,97,64.17892361675949,89.61326514135588,-0.47560212986415995,-50.87560189016043,0.0006745310092810541,0.00021867098985239863
12,21946978854,Ridge,5165,211,61.17085217877232,89.28491225676797,0.09629251449835186,-22.660872805519766,0.002413041002000682,0.0007419860048685223
12,21946978854,RandomForest,5165,211,63.896107886980474,93.1817131580223,0.015687254261961936,0.13011564652766813,0.35413252300349995,0.04232476399920415
12,21946978854,GradientBoosting,5165,211,70.64357287975562,97.88961687183897,-0.08628800685241833,2.7741551856117885,0.7104949509957805,0.001239111996255815
12,21946978854,HistGradientBoosting,5165,211,74.96305360021786,102.32013804402578,-0.18684488398056298,8.413072453627453,0.8168360530107748,0.003997029009042308
12,21946978854,SVR_RBF,5165,211,78.83733336164006,110.4939375359982,-0.3840399553891791,-65.58454155905841,0.4940911150042666,0.020238678000168875
12,21946978854,RedeNeuronal_MLP,5165,211,78.87712757445746,112.08101083813645,-0.42408465078996893,11.564650957514973,7.020001972996397,0.0016244740108959377
12,21946978854,Dummy,5165,211,73.22943073260691,102.7661371585248,-0.19721401402412653,-41.70931166649582,0.0008424749976256862,0.00024447799660265446
13,22118031985,Ridge,5229,147,57.99483847063405,71.03186203522249,-0.012893468946764575,-6.5630601797348165,0.002367089007748291,0.0007188869931269437
13,22118031985,RandomForest,5229,147,57.431547454197165,73.2241023519776,-0.07637966572246913,27.909150425050406,0.36407231699558906,0.03859726600057911
13,22118031985,GradientBoosting,5229,147,56.23249473387961,70.19781380586532,0.010753446525210264,15.558119584129503,0.9129013339988887,0.0022630339954048395
13,22118031985,HistGradientBoosting,5229,147,60.93633466056213,73.89175804399525,-0.096097963636669,34.15911877150743,0.8891629050049232,0.0067290699953446165
13,22118031985,SVR_RBF,5229,147,68.48124002943757,85.63847328917798,-0.4722962456722106,-42.65871258284362,0.5796611359983217,0.023903153007267974
13,22118031985,RedeNeuronal_MLP,5229,147,59.88563981221391,78.00454897598999,-0.22151057776098226,23.382277856496582,16.304181682004128,0.002440128999296576
13,22118031985,Dummy,5229,147,61.06735765956274,77.40693866827424,-0.20286574169149385,-31.78891247467904,0.0016299760027322918,0.00046522000047843903
14,22259327797,Ridge,5159,217,113.19770642352373,139.7558753464742,0.13118109103753706,-1.8972903558114582,0.00580270700447727,0.0014773229922866449
14,22259327797,RandomForest,5159,217,105.02934878160627,120.87743433646129,0.35005054836734895,70.41194716044232,0.4421808140032226,0.041705622992594726
14,22259327797,GradientBoosting,5159,217,88.54178129726844,104.69155298049883,0.5124575907224121,47.0970712765285,0.9833357169991359,0.0020800839993171394
14,22259327797,HistGradientBoosting,5159,217,97.92421204785843,113.78615329986008,0.4240723273411484,57.462145596177535,0.8632554509968031,0.004160409007454291
14,22259327797,SVR_RBF,5159,217,120.74645081826898,152.78452871519954,-0.03835981569814484,-16.653848689757776,0.49871340800018515,0.01745148201007396
14,22259327797,RedeNeuronal_MLP,5159,217,120.38056546987693,139.29192390742242,0.13694000039212884,98.69758373642105,11.699986249004724,0.0017829169955803081
14,22259327797,Dummy,5159,217,125.79660378669256,150.50065307622174,-0.007548321585099549,13.026586862268042,0.002060903003439307,0.00042971600487362593
15,22582028728,Ridge,5184,192,65.99760300611494,77.63046731461293,-0.4708380088881996,-50.01565569053616,0.003942263996577822,0.0013158989895600826
15,22582028728,RandomForest,5184,192,67.11501803005278,80.41664767776763,-0.5783102345426177,-50.61379308882656,0.3802786460000789,0.05017212699749507
15,22582028728,GradientBoosting,5184,192,62.19559112587831,71.48485976735823,-0.24717840477020103,-38.72564140915462,0.8620979819970671,0.0021415609953692183
15,22582028728,HistGradientBoosting,5184,192,64.54321500915475,74.29784679734422,-0.3472646004694533,-36.17359011694558,0.7568021729966858,0.0039239020115928724
15,22582028728,SVR_RBF,5184,192,75.42740883648652,86.0501511382417,-0.8071895978573607,-56.7759044841741,0.5586812580004334,0.027895907987840474
15,22582028728,RedeNeuronal_MLP,5184,192,71.69683673855978,83.79424044641802,-0.7136762605404143,-55.8444350544493,12.811971535003977,0.004329468996729702
15,22582028728,Dummy,5184,192,50.37819026968807,65.57817358610575,-0.04958853277922448,-14.254119903687581,0.0008600870060035959,0.0002741150092333555
16,22610623020,Ridge,5287,89,81.1646043831331,100.67635272863592,-1.1640925043550672,-67.93796891285506,0.005277734991977923,0.0011277459998382255
16,22610623020,RandomForest,5287,89,45.46930937707327,62.01109723380275,0.17896871651442237,8.116336631368894,0.3905088350002188,0.04210813400277402
16,22610623020,GradientBoosting,5287,89,50.71034218198653,66.35084881961657,0.06003033165610849,-25.351228686226975,0.8125861509906827,0.0023753769928589463
16,22610623020,HistGradientBoosting,5287,89,37.207940152066506,51.418291956362864,0.43551011377396254,-4.441028160519672,1.0812127470126143,0.003992418001871556
16,22610623020,SVR_RBF,5287,89,111.10121710176263,130.76215904330772,-2.6507747558964256,-109.3007082100076,0.5527524759963853,0.009734881998156197
16,22610623020,RedeNeuronal_MLP,5287,89,44.78359231721225,57.29064978111207,0.2992092361139689,9.42141485713312,13.299892527007614,0.002128425010596402
16,22610623020,Dummy,5287,89,102.98196403130909,122.10807441448216,-2.183535072665026,-101.12758808076653,0.0011986480094492435,0.0003718120133271441
17,22664327478,Ridge,5112,264,158.12443709852963,232.91023846149275,-0.24072006424326142,-127.1460272175005,0.00410479299898725,0.0013165749987820163
17,22664327478,RandomForest,5112,264,122.8992760161723,172.69666160100752,0.3178741153975765,-90.0149932174264,0.3969083740084898,0.044028892007190734
17,22664327478,GradientBoosting,5112,264,135.3099392455155,188.94351313923585,0.18349167372664732,-120.56494061927174,0.7108301260013832,0.0017513310012873262
17,22664327478,HistGradientBoosting,5112,264,135.52647667050965,197.47388702197614,0.10810034698062698,-114.42388571494637,0.9298980240128003,0.0057338610058650374
17,22664327478,SVR_RBF,5112,264,164.8958575850928,249.37077856350703,-0.4222887268254012,-141.40437347434582,0.49158993498713244,0.019645362001028843
17,22664327478,RedeNeuronal_MLP,5112,264,133.03720538236067,178.0914436300039,0.27459130959514677,-117.09362616493048,11.932994214992505,0.0023052030010148883
17,22664327478,Dummy,5112,264,159.45551380687493,236.5992901727227,-0.28033471203428784,-110.71083231920396,0.0014351050049299374,0.000430358006269671
18,22882313372,Ridge,5273,103,42.32197640903008,51.34918065494935,0.2279195842865689,6.070536631003374,0.005140051987837069,0.0013677099923370406
18,22882313372,RandomForest,5273,103,29.99403727402969,38.677765179303,0.5619554869350474,-21.0074645675479,0.4044957009900827,0.04104902000108268
18,22882313372,GradientBoosting,5273,103,31.460215053582512,45.46478219143069,0.3947347651501205,-22.31243814837286,0.8017135039990535,0.002232790007838048
18,22882313372,HistGradientBoosting,5273,103,29.196721453746687,40.51299071286583,0.5193996210688185,-16.771134720740946,0.9605942950001918,0.003893537010299042
18,22882313372,SVR_RBF,5273,103,52.38064971870196,68.13914610809849,-0.35953024524041255,-32.72576929814483,0.5140553230012301,0.010438822995638475
18,22882313372,RedeNeuronal_MLP,5273,103,28.51927338080979,41.314780614536055,0.5001883188119487,-10.38360784284832,9.986339035996934,0.00163562799571082
18,22882313372,Dummy,5273,103,52.33324026788221,66.06395482179893,-0.2779817060082874,-30.81132379352097,0.0007582560065202415,0.0002685049985302612
19,22910890927,Ridge,5164,212,90.29354870725872,102.1927875752856,-1.4992605701852546,82.91840323157618,0.003014526009792462,0.0008659629966132343
19,22910890927,RandomForest,5164,212,86.96785814137101,99.86489748095562,-1.386694140597839,80.25550582846378,0.3863980429887306,0.042025885995826684
19,22910890927,GradientBoosting,5164,212,59.12786611727564,72.11762081220293,-0.2446688691388632,40.873992677091884,0.7125796839973191,0.0015816840023035184
19,22910890927,HistGradientBoosting,5164,212,75.95586109840544,86.24221819991374,-0.7799626218541673,66.5270214236433,0.874753354000859,0.005310804001055658
19,22910890927,SVR_RBF,5164,212,45.51644014228956,65.69950148725395,-0.032987804826535516,12.353452506400043,0.5070790080062579,0.01739999400160741
19,22910890927,RedeNeuronal_MLP,5164,212,229.67859411827226,258.9151139735125,-15.043009898838218,228.96472007355038,11.987736178009072,0.0016670309996698052
19,22910890927,Dummy,5164,212,56.091330270610335,72.7988648095539,-0.2682949413973845,33.48271908432763,0.000989032007055357,0.0002780700015136972
20,22943992812,Ridge,5270,106,98.82824655976698,111.81284507447938,0.3104743264616058,18.34146982656385,0.002364355997997336,0.0007303619931917638
20,22943992812,RandomForest,5270,106,74.03651916006847,96.22265963614952,0.48935185529278447,-25.552596952163668,0.376578878989676,0.03968234400963411
20,22943992812,GradientBoosting,5270,106,78.24046659510803,105.13135060998925,0.39041884526491044,-35.16284714819496,1.0920230939955218,0.0026566739979898557
20,22943992812,HistGradientBoosting,5270,106,77.13349384869728,106.1717700575596,0.3782938544793908,-40.80698052070019,0.9679250289918855,0.0040075660072034225
20,22943992812,SVR_RBF,5270,106,111.12692228608559,125.49457171358398,0.1314057976611378,12.623831982465218,0.5087919460056582,0.008807051999610849
20,22943992812,RedeNeuronal_MLP,5270,106,75.98164945936162,104.95086269024767,0.39251008811127097,-41.294537922114145,4.986222854000516,0.0017822149966377765
20,22943992812,Dummy,5270,106,126.30783857946219,142.69283867566517,-0.12297839301956426,47.220532962777405,0.000718533992767334,0.00023517900262959301
21,22980101796,Ridge,5026,350,30.032799542963044,35.14579694241177,-0.29371956042507574,24.40313160964347,0.0025610559969209135,0.0008303100039483979
21,22980101796,RandomForest,5026,350,50.16463638045698,67.41706752370963,-3.7602862528628815,35.214605023983175,0.38863757900253404,0.05068248299357947
21,22980101796,GradientBoosting,5026,350,44.59743389422722,51.36625411193631,-1.7634343095902305,34.59117622139055,0.7909133439970901,0.0021021970023866743
