atividade_id,nivel,motivo,n,percentagem
23996168837,intervalo,cobertura_fc_insuficiente,29,0.8633521881512355
23996168837,intervalo,pausa,12,0.3572491813039595
23996168837,intervalo,velocidade_inferior_limiar,9,0.2679368859779696
23996168837,intervalo,timestamp_invalido,1,0.02977076510866329
23996168837,intervalo,salto_temporal,1,0.02977076510866329
24069625931,intervalo,valido,4223,88.12604340567613
24069625931,intervalo,amplitude_robusta_fc_excessiva,242,5.05008347245409
24069625931,intervalo,diferenca_media_temporal_excessiva,151,3.151085141903172
24069625931,intervalo,primeiros_120s,101,2.1076794657762936
24069625931,intervalo,pausa,47,0.9808013355592654
24069625931,intervalo,velocidade_inferior_limiar,27,0.5634390651085142
24069625931,intervalo,timestamp_invalido,1,0.020868113522537562
24225591249,intervalo,valido,1884,93.49875930521092
24225591249,intervalo,primeiros_120s,112,5.558312655086849
24225591249,intervalo,diferenca_media_temporal_excessiva,11,0.5459057071960298
24225591249,intervalo,pausa,7,0.34739454094292804
24225591249,intervalo,timestamp_invalido,1,0.04962779156327544
21568213058,grupo,cobertura_troco_excessiva,4,3.9215686274509802
21568213058,grupo,cobertura_troco_insuficiente,12,11.764705882352942
21568213058,grupo,menos_2_intervalos,10,9.803921568627452
21568213058,grupo,valido,76,74.50980392156863
21574110161,grupo,cobertura_troco_excessiva,8,4.705882352941177
21574110161,grupo,cobertura_troco_insuficiente,15,8.823529411764707
21574110161,grupo,menos_2_intervalos,18,10.588235294117647
21574110161,grupo,valido,129,75.88235294117646
21604546980,grupo,cobertura_troco_excessiva,2,3.3333333333333335
21604546980,grupo,cobertura_troco_insuficiente,9,15.0
21604546980,grupo,menos_2_intervalos,8,13.333333333333334
21604546980,grupo,valido,41,68.33333333333333
21648150892,grupo,cobertura_troco_excessiva,21,6.325301204819277
21648150892,grupo,cobertura_troco_insuficiente,35,10.542168674698795
21648150892,grupo,menos_2_intervalos,30,9.036144578313253
21648150892,grupo,valido,246,74.09638554216868
21682806144,grupo,cobertura_troco_excessiva,1,0.9345794392523364
21682806144,grupo,cobertura_troco_insuficiente,19,17.757009345794394
21682806144,grupo,menos_2_intervalos,7,6.542056074766355
21682806144,grupo,valido,80,74.76635514018692
21703191468,grupo,cobertura_troco_insuficiente,21,24.137931034482758
21703191468,grupo,menos_2_intervalos,11,12.64367816091954
21703191468,grupo,valido,55,63.2183908045977
21729420815,grupo,cobertura_troco_excessiva,14,4.216867469879518
21729420815,grupo,cobertura_troco_insuficiente,23,6.927710843373494
21729420815,grupo,menos_2_intervalos,31,9.337349397590362
21729420815,grupo,valido,264,79.51807228915662
21827489413,grupo,cobertura_troco_excessiva,2,1.1976047904191616
21827489413,grupo,cobertura_troco_insuficiente,30,17.964071856287426
21827489413,grupo,menos_2_intervalos,15,8.982035928143713
21827489413,grupo,valido,120,71.8562874251497
21848059283,grupo,cobertura_troco_excessiva,3,1.7647058823529411
21848059283,grupo,cobertura_troco_insuficiente,29,17.058823529411764
21848059283,grupo,menos_2_intervalos,25,14.705882352941176
21848059283,grupo,valido,113,66.47058823529412
21862167927,grupo,cobertura_troco_excessiva,33,8.638743455497382
21862167927,grupo,cobertura_troco_insuficiente,17,4.450261780104712
21862167927,grupo,menos_2_intervalos,23,6.020942408376963
21862167927,grupo,valido,309,80.89005235602095
21909979898,grupo,cobertura_troco_excessiva,2,1.5384615384615385
