atividade_id,timestamp,distancia_m,altitude_m,fc_bpm,velocidade_fit_m_s
21568213058,2026-01-16 17:44:33+00:00,1494.12,79.79999999999995,121,2.202
21568213058,2026-01-16 17:44:35+00:00,1499.15,78.39999999999998,125,2.221
21568213058,2026-01-16 17:44:36+00:00,1501.66,78.0,122,2.23
21568213058,2026-01-16 17:44:43+00:00,1520.56,76.39999999999998,122,2.314
21568213058,2026-01-16 17:44:47+00:00,1530.28,76.0,125,2.351
21568213058,2026-01-16 17:44:48+00:00,1532.61,76.0,122,2.361
21568213058,2026-01-16 17:44:53+00:00,1544.59,75.60000000000002,122,2.389
21568213058,2026-01-16 17:44:58+00:00,1557.72,75.60000000000002,118,2.417
21568213058,2026-01-16 17:44:59+00:00,1560.36,75.60000000000002,121,2.426
21568213058,2026-01-16 17:45:02+00:00,1568.1,75.39999999999998,122,2.435
21568213058,2026-01-16 17:45:09+00:00,1587.41,74.60000000000002,122,2.491
21568213058,2026-01-16 17:45:17+00:00,1608.31,73.39999999999998,121,2.566
21568213058,2026-01-16 17:45:18+00:00,1611.02,73.39999999999998,122,2.575
21568213058,2026-01-16 17:45:26+00:00,1631.73,72.60000000000002,122,2.594
21568213058,2026-01-16 17:45:27+00:00,1634.31,72.60000000000002,122,2.594
21568213058,2026-01-16 17:45:35+00:00,1654.89,71.20000000000005,123,2.622
21568213058,2026-01-16 17:45:40+00:00,1668.16,71.0,125,2.622
21568213058,2026-01-16 17:45:44+00:00,1679.42,71.0,128,2.631
21568213058,2026-01-16 17:45:46+00:00,1684.98,71.20000000000005,129,2.631
21568213058,2026-01-16 17:45:52+00:00,1701.66,72.39999999999998,132,2.669
21568213058,2026-01-16 17:45:53+00:00,1704.45,72.79999999999995,132,2.678
21568213058,2026-01-16 17:46:00+00:00,1724.41,74.39999999999998,130,2.706
21568213058,2026-01-16 17:46:02+00:00,1729.84,75.0,133,2.706
21568213058,2026-01-16 17:46:08+00:00,1747.4,75.60000000000002,136,2.725
21568213058,2026-01-16 17:46:15+00:00,1766.47,74.79999999999995,136,2.753
21568213058,2026-01-16 17:46:22+00:00,1784.42,74.20000000000005,137,2.743
21568213058,2026-01-16 17:46:28+00:00,1800.18,74.39999999999998,140,2.725
21568213058,2026-01-16 17:46:32+00:00,1810.75,75.20000000000005,142,2.715
21568213058,2026-01-16 17:46:40+00:00,1832.09,76.20000000000005,140,2.706
21568213058,2026-01-16 17:46:44+00:00,1842.33,76.20000000000005,140,2.697
21568213058,2026-01-16 17:46:52+00:00,1862.83,75.20000000000005,141,2.687
21568213058,2026-01-16 17:46:53+00:00,1865.3,75.20000000000005,142,2.678
21568213058,2026-01-16 17:47:01+00:00,1885.89,74.39999999999998,143,2.669
21568213058,2026-01-16 17:47:05+00:00,1896.76,74.60000000000002,144,2.659
21568213058,2026-01-16 17:47:07+00:00,1902.45,74.79999999999995,148,2.659
21568213058,2026-01-16 17:47:10+00:00,1911.11,75.39999999999998,151,2.659
21568213058,2026-01-16 17:47:13+00:00,1918.91,76.20000000000005,157,2.669
21568213058,2026-01-16 17:47:15+00:00,1923.77,76.60000000000002,160,2.678
21568213058,2026-01-16 17:47:16+00:00,1926.43,76.60000000000002,162,2.678
21568213058,2026-01-16 17:47:19+00:00,1934.36,76.79999999999995,166,2.687
21568213058,2026-01-16 17:47:22+00:00,1942.34,77.0,170,2.687
21568213058,2026-01-16 17:47:23+00:00,1944.83,77.0,170,2.687
21568213058,2026-01-16 17:47:24+00:00,1947.4,77.0,176,2.687
21568213058,2026-01-16 17:47:25+00:00,1949.99,77.0,179,2.687
21568213058,2026-01-16 17:47:27+00:00,1954.88,77.0,182,2.687
21568213058,2026-01-16 17:47:33+00:00,1968.88,76.39999999999998,183,2.687
21568213058,2026-01-16 17:47:41+00:00,1989.23,75.39999999999998,183,2.641
21568213058,2026-01-16 17:47:49+00:00,2009.65,73.60000000000002,183,2.613
21568213058,2026-01-16 17:47:50+00:00,2012.4,73.60000000000002,183,2.613
21568213058,2026-01-16 17:47:58+00:00,2034.37,74.20000000000005,181,2.641
21568213058,2026-01-16 17:48:01+00:00,2042.57,74.20000000000005,184,2.659
21568213058,2026-01-16 17:48:06+00:00,2055.81,74.20000000000005,185,2.669
21568213058,2026-01-16 17:48:14+00:00,2076.69,74.20000000000005,186,2.669
21568213058,2026-01-16 17:48:22+00:00,2098.13,73.20000000000005,185,2.669
21568213058,2026-01-16 17:48:23+00:00,2100.84,73.0,185,2.669
21568213058,2026-01-16 17:48:30+00:00,2118.84,72.60000000000002,184,2.669
21568213058,2026-01-16 17:48:38+00:00,2138.93,72.79999999999995,182,2.641
21568213058,2026-01-16 17:48:46+00:00,2160.35,71.39999999999998,182,2.622
21568213058,2026-01-16 17:48:54+00:00,2182.0,69.0,182,2.613
21568213058,2026-01-16 17:48:58+00:00,2192.44,68.39999999999998,181,2.613
21568213058,2026-01-16 17:49:04+00:00,2208.05,67.39999999999998,181,2.613
21568213058,2026-01-16 17:49:12+00:00,2229.6,67.20000000000005,182,2.622
21568213058,2026-01-16 17:49:14+00:00,2235.01,67.39999999999998,181,2.622
21568213058,2026-01-16 17:49:22+00:00,2256.07,67.79999999999995,181,2.641
21568213058,2026-01-16 17:49:23+00:00,2258.68,68.0,181,2.641
21568213058,2026-01-16 17:49:31+00:00,2279.36,69.20000000000005,180,2.631
21568213058,2026-01-16 17:49:34+00:00,2286.72,69.79999999999995,180,2.631
21568213058,2026-01-16 17:49:38+00:00,2297.58,70.39999999999998,180,2.622
21568213058,2026-01-16 17:49:39+00:00,2300.32,70.39999999999998,180,2.622
21568213058,2026-01-16 17:49:45+00:00,2316.79,71.39999999999998,180,2.631
21568213058,2026-01-16 17:49:53+00:00,2337.43,71.60000000000002,180,2.622
21568213058,2026-01-16 17:50:01+00:00,2357.8,71.0,181,2.613
21568213058,2026-01-16 17:50:09+00:00,2379.26,69.60000000000002,182,2.603
21568213058,2026-01-16 17:50:17+00:00,2400.98,69.79999999999995,182,2.622
21568213058,2026-01-16 17:50:24+00:00,2419.24,70.20000000000005,180,2.641
21568213058,2026-01-16 17:50:33+00:00,2440.96,69.60000000000002,179,2.631
21568213058,2026-01-16 17:50:42+00:00,2462.96,68.79999999999995,179,2.603
21568213058,2026-01-16 17:50:47+00:00,2475.08,68.20000000000005,180,2.594
21568213058,2026-01-16 17:50:52+00:00,2488.03,68.0,180,2.585
21568213058,2026-01-16 17:51:00+00:00,2508.4,67.60000000000002,182,2.585
21568213058,2026-01-16 17:51:09+00:00,2530.7,67.20000000000005,181,2.575
21568213058,2026-01-16 17:51:18+00:00,2552.91,68.79999999999995,183,2.566
21568213058,2026-01-16 17:51:26+00:00,2572.44,69.39999999999998,183,2.557
21568213058,2026-01-16 17:51:28+00:00,2576.01,69.60000000000002,183,2.557
21568213058,2026-01-16 17:51:31+00:00,2581.08,69.79999999999995,183,2.538
21568213058,2026-01-16 17:51:35+00:00,2582.77,70.20000000000005,184,2.127
21568213058,2026-01-16 17:51:41+00:00,2591.05,70.39999999999998,183,0.0
21568213058,2026-01-16 17:51:48+00:00,2609.97,71.0,183,2.585
21568213058,2026-01-16 17:51:55+00:00,2628.98,70.79999999999995,180,2.585
21568213058,2026-01-16 17:51:57+00:00,2634.7,70.79999999999995,179,2.585
21568213058,2026-01-16 17:52:05+00:00,2654.87,70.79999999999995,176,2.622
21568213058,2026-01-16 17:52:06+00:00,2657.57,71.0,179,2.613
21568213058,2026-01-16 17:52:14+00:00,2676.9,72.0,179,2.585
21568213058,2026-01-16 17:52:22+00:00,2697.93,74.20000000000005,181,2.547
21568213058,2026-01-16 17:52:24+00:00,2703.66,74.79999999999995,181,2.547
21568213058,2026-01-16 17:52:32+00:00,2723.76,76.0,183,2.538
21568213058,2026-01-16 17:52:35+00:00,2732.33,76.20000000000005,185,2.538
21568213058,2026-01-16 17:52:43+00:00,2753.09,75.60000000000002,187,2.547
21568213058,2026-01-16 17:52:44+00:00,2755.6,75.79999999999995,187,2.547
21568213058,2026-01-16 17:52:53+00:00,2777.81,77.0,189,2.538
21568213058,2026-01-16 17:52:54+00:00,2780.11,77.20000000000005,189,2.538
21568213058,2026-01-16 17:53:02+00:00,2801.22,78.0,191,2.529
21568213058,2026-01-16 17:53:10+00:00,2821.26,78.39999999999998,191,2.538
21568213058,2026-01-16 17:53:11+00:00,2823.92,78.39999999999998,191,2.538
21568213058,2026-01-16 17:53:20+00:00,2846.35,78.60000000000002,191,2.519
21568213058,2026-01-16 17:53:28+00:00,2866.43,78.39999999999998,192,2.51
21568213058,2026-01-16 17:53:35+00:00,2883.41,78.0,191,2.501
21568213058,2026-01-16 17:53:44+00:00,2905.7,77.39999999999998,189,2.482
21568213058,2026-01-16 17:53:46+00:00,2910.52,77.39999999999998,189,2.482
21568213058,2026-01-16 17:53:54+00:00,2929.47,76.79999999999995,188,2.482
